replication,seed,final_time,workday_minutes,total_revenue,clients_generated,clients_completed,average_seller_wait,average_repair_wait,average_change_wait,seller_utilization,technician_utilization,specialist_utilization,completed_type_1,completed_type_2,completed_type_3,completed_type_4,revenue_type_1,revenue_type_2,revenue_type_3,revenue_type_4
48,12393,507.4862379216835,480,6550.0,26,26,0.11456706649975519,0.195706246255304,0.0,0.14729413083662435,0.2578804629989964,0.13525309889652606,12,8,3,3,0.0,2800.0,1500.0,2250.0
49,12394,554.4107087714435,480,7400.0,25,25,0.11138136473549935,0.0,14.553948605847703,0.1267303743507731,0.33736604843005336,0.11132641130897569,12,4,3,6,0.0,1400.0,1500.0,4500.0
50,12395,475.87226059929486,480,7050.0,19,19,0.0,0.0,0.0,0.12417947262338423,0.2060251602467343,0.02363737038087861,5,8,1,5,0.0,2800.0,500.0,3750.0
51,12396,469.08658809259964,480,6300.0,24,24,0.06697738883989857,0.1817011801483629,0.0,0.15642921419128392,0.3562045128150317,0.15216989615809853,11,8,1,4,0.0,2800.0,500.0,3000.0
52,12397,490.4261556609594,480,8000.0,20,20,0.0,0.0,0.00950084815219725,0.12924867884780175,0.2073595962115654,0.05853394912244404,5,5,5,5,0.0,1750.0,2500.0,3750.0
53,12398,539.5000456081675,480,6400.0,18,18,0.0,0.0,0.0,0.11721083979479752,0.12800871106129144,0.036580270326291554,7,4,1,6,0.0,1400.0,500.0,4500.0
54,12399,523.7506219519227,480,8750.0,27,27,0.0,0.0,0.0,0.15778823223420538,0.3076741104877621,0.20270133342809415,9,10,3,5,0.0,3500.0,1500.0,3750.0
55,12400,559.1639640756308,480,6100.0,19,19,0.0,0.0,0.0,0.09331784716883304,0.20698214635262696,0.050954051958797264,7,6,2,4,0.0,2100.0,1000.0,3000.0
56,12401,480.7453268393509,480,4900.0,18,18,0.0,0.0,0.0,0.09312197678160417,0.11364728977839172,0.1090893951891774,8,4,4,2,0.0,1400.0,2000.0,1500.0
57,12402,459.3151264019606,480,3400.0,19,19,0.0,0.0,0.0,0.10759212616378473,0.2444888887434345,0.023238151179197704,12,4,1,2,0.0,1400.0,500.0,1500.0
58,12403,490.50807694396434,480,5000.0,24,24,0.165699089865317,0.0,0.0,0.14493339851074397,0.22218495834577748,0.05583054075401317,14,5,2,3,0.0,1750.0,1000.0,2250.0
59,12404,486.6242297677095,480,5000.0,24,24,0.0,0.0,0.0,0.12783436855731348,0.3199527330872708,0.0155798032668053,12,10,0,2,0.0,3500.0,0.0,1500.0
60,12405,466.2517036060345,480,7300.0,21,21,0.0,0.0,0.0,0.13370414890812687,0.24527838158340579,0.030349090886326636,7,8,0,6,0.0,2800.0,0.0,4500.0
61,12406,489.1272153982294,480,7050.0,25,25,0.0,0.0,0.0,0.1455342856547666,0.29157145484674174,0.11556545880336026,11,8,1,5,0.0,2800.0,500.0,3750.0
62,12407,499.93031802504447,480,5050.0,25,25,0.0,0.0,0.0,0.1463621429919467,0.4023576779217765,0.024865504345729827,14,8,0,3,0.0,2800.0,0.0,2250.0
63,12408,519.6667426010539,480,12950.0,38,38,0.03587504203845077,0.204249929346911,0.0,0.22638243277495715,0.36328470398940155,0.2638630885439606,15,7,6,10,0.0,2450.0,3000.0,7500.0
64,12409,496.08859344007857,480,8050.0,23,23,0.31543329312946766,0.0,0.0,0.1664499169229787,0.06322968884383609,0.02156935408183908,10,3,2,8,0.0,1050.0,1000.0,6000.0
65,12410,508.73556732334697,480,6450.0,24,24,0.0,0.0,0.0,0.15164944028027214,0.18824280576369276,0.06273501736695136,11,7,2,4,0.0,2450.0,1000.0,3000.0
66,12411,483.30147877208395,480,4000.0,19,19,0.0,0.0,0.0,0.11272667639198458,0.25052229172575735,0.0,11,5,0,3,0.0,1750.0,0.0,2250.0
67,12412,476.79052984077623,480,7700.0,28,28,0.0,0.0,0.0,0.17729272253977346,0.17789670130049182,0.29187277803513023,12,7,6,3,0.0,2450.0,3000.0,2250.0
68,12413,482.8443528974129,480,6100.0,21,21,0.0,0.16208207750845532,0.0,0.1428959330552644,0.24662741081169678,0.08262851431831202,9,6,2,4,0.0,2100.0,1000.0,3000.0
69,12414,531.378671450294,480,8650.0,24,24,0.0,0.0,0.0,0.14526879447694355,0.13591134078663952,0.145653828106862,9,4,4,7,0.0,1400.0,2000.0,5250.0
70,12415,471.12389174673865,480,9600.0,20,20,0.0,0.0,3.777710921636924,0.1395297556402377,0.17028976562660084,0.09311802362541775,3,6,3,8,0.0,2100.0,1500.0,6000.0
71,12416,501.47048996629724,480,8600.0,26,26,0.04301310109515555,0.0,0.6272017461896553,0.169261285365623,0.19637372393833763,0.12391866194410066,10,6,4,6,0.0,2100.0,2000.0,4500.0
72,12417,514.0356342409594,480,6050.0,21,21,0.017091855032495978,0.0,0.0,0.11591289544257719,0.15758621265254408,0.02802626492211654,8,8,2,3,0.0,2800.0,1000.0,2250.0
73,12418,490.58895699066983,480,4400.0,20,20,0.0,0.0,0.0,0.10921637824028883,0.15369202079085548,0.0,12,4,0,4,0.0,1400.0,0.0,3000.0
74,12419,465.194756787035,480,6550.0,25,25,0.0,0.0,0.0,0.16187660190563405,0.24027016831913056,0.030032961570724413,14,3,2,6,0.0,1050.0,1000.0,4500.0
75,12420,474.43229458403437,480,8300.0,24,24,0.0,0.0,0.0,0.1569375381337761,0.22423395706117388,0.07725040902557219,8,8,2,6,0.0,2800.0,1000.0,4500.0
76,12421,496.5268211090288,480,9550.0,23,23,0.08762496152195107,0.0,0.0,0.1557021234402601,0.17228395201529473,0.06065691888598451,4,8,6,5,0.0,2800.0,3000.0,3750.0
77,12422,485.01047125826375,480,4700.0,21,21,0.0,0.0,0.0,0.13500206106333845,0.15243059906401615,0.0,11,7,0,3,0.0,2450.0,0.0,2250.0
78,12423,522.3057179376033,480,4900.0,18,18,0.2981875177989895,0.0,0.0,0.08181384830350374,0.18097704474361817,0.0010844809084819347,9,4,1,4,0.0,1400.0,500.0,3000.0
79,12424,516.6494377403815,480,6950.0,25,25,0.13372895965165071,0.0,0.0,0.12643055403149664,0.1935213104409853,0.0782932045918809,11,7,3,4,0.0,2450.0,1500.0,3000.0
80,12425,441.56576749226133,480,5150.0,25,25,0.0,0.0,0.0,0.17762007792426587,0.2454570426625236,0.03732741680002937,16,4,0,5,0.0,1400.0,0.0,3750.0
81,12426,486.6408444037354,480,5050.0,18,18,0.05011150726605883,0.0,0.0,0.11382727858429248,0.07318512374718515,0.05617571202037595,9,3,2,4,0.0,1050.0,1000.0,3000.0
82,12427,434.9511315582015,480,4750.0,20,20,0.19723734348213426,0.0,0.0,0.15614728225326766,0.2646694097265864,0.0,11,5,0,4,0.0,1750.0,0.0,3000.0
83,12428,469.8759774375279,480,6200.0,16,16,0.2942110088507981,0.0,0.0,0.11424165727590296,0.06739042684011659,0.06634789723210487,6,2,2,6,0.0,700.0,1000.0,4500.0
84,12429,486.5009319706604,480,8600.0,22,22,0.047991744639918205,0.0,0.0,0.1549835523404282,0.10675375385333633,0.007167582852714342,7,6,1,8,0.0,2100.0,500.0,6000.0
85,12430,451.2346277838559,480,9850.0,29,29,0.14192634470498042,0.0,0.0,0.18538937075368497,0.22428022858767704,0.09332228785368016,9,11,3,6,0.0,3850.0,1500.0,4500.0
86,12431,437.35232126617683,480,9850.0,22,22,0.0,0.0,0.0,0.18901885969052054,0.16074052954454326,0.024070548325326815,5,6,2,9,0.0,2100.0,1000.0,6750.0
87,12432,500.3587936541652,480,4800.0,21,21,0.05948750375697608,0.0,0.0,0.11402508611961808,0.1854627807935048,0.10683676154349767,12,3,3,3,0.0,1050.0,1500.0,2250.0
88,12433,509.85014064372643,480,9850.0,34,34,0.0,0.0,0.0,0.21325553325967775,0.2778774981568225,0.09030382315950126,14,11,3,6,0.0,3850.0,1500.0,4500.0
89,12434,487.2228789086613,480,8850.0,27,27,0.22641143449789597,0.0,0.0,0.17910130169818694,0.34836550146415474,0.15413326271685304,9,11,1,6,0.0,3850.0,500.0,4500.0
90,12435,510.7136617397083,480,8850.0,24,24,0.11416196443471686,0.0,0.0,0.15663805845439135,0.10700638897874933,0.033724455360531966,8,6,3,7,0.0,2100.0,1500.0,5250.0
91,12436,470.24026853400227,480,7450.0,21,21,0.24572213263852355,0.0,0.0,0.15618556398701586,0.10942376608647303,0.004235148728401568,7,7,1,6,0.0,2450.0,500.0,4500.0
92,12437,470.61885714780124,480,6950.0,24,24,0.0,0.0,0.0,0.15557187208019252,0.3608379469772035,0.10458386296540972,11,7,0,6,0.0,2450.0,0.0,4500.0
93,12438,461.793244898449,480,4100.0,19,19,0.0,0.0,0.0,0.11301536983037892,0.2136671080360072,0.14845100683189552,10,6,1,2,0.0,2100.0,500.0,1500.0
94,12439,439.0341877751999,480,4950.0,20,20,0.0,0.0,0.0,0.15384434173573405,0.31417566600278046,0.05119027478045752,12,2,1,5,0.0,700.0,500.0,3750.0
95,12440,499.88348111425586,480,10400.0,26,26,0.11719378942727372,0.0,0.0,0.16961253654457456,0.187715080164431,0.08160500279982429,9,4,3,10,0.0,1400.0,1500.0,7500.0
96,12441,537.0416870968583,480,4450.0,13,13,0.0,0.0,0.0,0.08726502838787557,0.12413802328827547,0.0,6,2,0,5,0.0,700.0,0.0,3750.0
97,12442,498.0795368993299,480,6400.0,21,21,0.0,0.0,0.0,0.14084440036650456,0.11201304709517244,0.005477697013809249,10,4,1,6,0.0,1400.0,500.0,4500.0
98,12443,469.7672644628333,480,5850.0,20,20,0.0,0.0,0.0,0.14938053221586392,0.25184408624115595,0.004283921274571341,9,6,0,5,0.0,2100.0,0.0,3750.0
99,12444,500.5660880511477,480,4700.0,19,19,0.0,0.0,5.275757960446725,0.12240389870017157,0.20628567674064108,0.19701239673266255,11,2,2,4,0.0,700.0,1000.0,3000.0
100,12445,488.8256039437991,480,10050.0,28,28,0.0,0.0,0.0,0.17839247651675982,0.20336880740742316,0.08366740736192334,10,8,1,9,0.0,2800.0,500.0,6750.0
101,12446,422.42988024985635,480,5300.0,15,15,0.004065387998488745,0.0,0.0,0.12251476442514739,0.10119237901929866,0.003724579511366387,6,3,1,5,0.0,1050.0,500.0,3750.0
102,12447,503.80885359480936,480,10600.0,30,30,0.07108095862984977,1.563557301282329,10.702582247840914,0.18566896133503616,0.2801186636778514,0.18945512698252684,9,11,3,7,0.0,3850.0,1500.0,5250.0
103,12448,484.22417093037734,480,9800.0,22,22,0.09649390809124983,0.0,0.0,0.16663646960084655,0.12734380570017192,0.13542249304532625,6,3,4,9,0.0,1050.0,2000.0,6750.0
104,12449,531.7003649749317,480,3350.0,21,21,0.0,0.0,0.0,0.08944644532746077,0.18299149269644632,0.036935075634841205,13,6,1,1,0.0,2100.0,500.0,750.0
105,12450,497.2547139549796,480,9100.0,26,26,0.0,0.0,8.262087745378613,0.16735405339142229,0.27855071731695136,0.19445700669289886,9,6,5,6,0.0,2100.0,2500.0,4500.0
106,12451,597.4848428351949,480,5300.0,19,19,0.0,0.0,3.5895438132561424,0.08091164258806849,0.21096592652065294,0.14234980404656952,9,3,4,3,0.0,1050.0,2000.0,2250.0
107,12452,483.6929649208806,480,5000.0,16,16,0.0,0.0,0.0,0.10373351266750304,0.22802562196273404,0.0765665016402288,6,5,2,3,0.0,1750.0,1000.0,2250.0
108,12453,500.4075428301097,480,3650.0,18,18,0.0,0.0,0.0,0.10993573181650296,0.23845734588418444,0.0,11,4,0,3,0.0,1400.0,0.0,2250.0
109,12454,501.30711703291837,480,10000.0,29,29,0.0,0.0,0.4709634439138218,0.16352992026873334,0.17646961838341602,0.12317517593426457,11,5,6,7,0.0,1750.0,3000.0,5250.0
110,12455,490.2159058278563,480,7900.0,20,20,0.20733396243059019,0.0,0.0,0.15240364018595134,0.1466498525053778,0.04916100449981471,7,4,1,8,0.0,1400.0,500.0,6000.0
111,12456,337.07371566211395,480,2700.0,14,14,0.0,0.0,0.0,0.10895938236877555,0.2521639740137081,0.046830637731028586,9,2,1,2,0.0,700.0,500.0,1500.0
112,12457,484.9687772200632,480,3250.0,14,14,0.0,0.0,0.0,0.08321578245683454,0.1829323008678826,0.09270698087865581,9,0,2,3,0.0,0.0,1000.0,2250.0
113,12458,484.5183942952486,480,5100.0,24,24,0.09618716587277258,0.0,0.0,0.1423382208151374,0.23361277444491357,0.01893697403418322,13,6,3,2,0.0,2100.0,1500.0,1500.0
114,12459,460.6767954333642,480,8850.0,27,27,0.0,0.0,0.0,0.19236408748908596,0.24286817273592456,0.15314049141843905,11,6,3,7,0.0,2100.0,1500.0,5250.0
115,12460,483.2655121657894,480,8050.0,26,26,0.1688746684420765,0.0,0.0,0.17898780667543585,0.21371482365767228,0.09378623294520147,12,3,5,6,0.0,1050.0,2500.0,4500.0
116,12461,471.2625444135998,480,9150.0,25,25,0.0,0.0,3.105590132186586,0.171111691459908,0.07366665714331082,0.07211948588526353,9,4,5,7,0.0,1400.0,2500.0,5250.0
