replication,seed,final_time,workday_minutes,total_revenue,clients_generated,clients_completed,average_seller_wait,average_repair_wait,average_change_wait,seller_utilization,technician_utilization,specialist_utilization,completed_type_1,completed_type_2,completed_type_3,completed_type_4,revenue_type_1,revenue_type_2,revenue_type_3,revenue_type_4
13,12358,487.07007095736196,480,7800.0,24,24,0.0,0.0,0.0,0.1618768264558323,0.21641775721348167,0.07939188692789445,11,3,3,7,0.0,1050.0,1500.0,5250.0
14,12359,476.80936126283814,480,4350.0,18,18,0.0,0.0,0.0,0.10038323044929702,0.24632972782629622,0.0,9,6,0,3,0.0,2100.0,0.0,2250.0
15,12360,495.7706220077043,480,7600.0,22,22,0.10507345045193843,0.0,1.7835058720713506,0.11965720538924207,0.16627055122493875,0.1514863693614328,7,6,5,4,0.0,2100.0,2500.0,3000.0
16,12361,468.30837245968564,480,8100.0,24,24,0.0,0.0,0.0,0.16197538798185357,0.23493177631946885,0.1662772073360275,9,6,3,6,0.0,2100.0,1500.0,4500.0
17,12362,500.83834700098305,480,5850.0,22,22,0.0,0.0,0.0,0.12448287648689338,0.14891589688857862,0.02951096486580803,10,6,3,3,0.0,2100.0,1500.0,2250.0
18,12363,482.97888344714465,480,5850.0,24,24,0.0,0.0,0.0,0.14795475206763936,0.18231164722373272,0.0,13,6,0,5,0.0,2100.0,0.0,3750.0
19,12364,473.3114773781534,480,6450.0,18,18,0.5266330322142115,0.0,0.0,0.11922574699530902,0.12533168843377313,0.0205799864285196,5,7,2,4,0.0,2450.0,1000.0,3000.0
20,12365,490.84396850758424,480,4250.0,16,16,0.0,0.0,0.0,0.09139251546039695,0.1590474698101761,0.024442293978740575,7,5,2,2,0.0,1750.0,1000.0,1500.0
21,12366,462.0558916800469,480,4300.0,17,17,0.0,0.0,0.0,0.09771833021463706,0.13167747405690722,0.023361036105858036,9,3,2,3,0.0,1050.0,1000.0,2250.0
22,12367,581.440764183121,480,3950.0,21,21,0.0,1.2826382484786514,0.0,0.10615450684939166,0.2688602282313948,0.09641464101047605,14,2,2,3,0.0,700.0,1000.0,2250.0
23,12368,496.6442185001483,480,4700.0,19,19,0.1909205991439529,0.0,0.0,0.11803732868937016,0.20117361655729293,0.006638051793254784,9,7,0,3,0.0,2450.0,0.0,2250.0
24,12369,524.312802688031,480,7800.0,27,27,0.14757149083392063,0.0,0.0,0.14692935220985012,0.36391585482511835,0.16995245212591636,11,8,4,4,0.0,2800.0,2000.0,3000.0
25,12370,497.90957589951864,480,5700.0,26,26,0.0,0.0,0.0,0.14026345116456387,0.29695096865944104,0.030831688719091588,14,7,2,3,0.0,2450.0,1000.0,2250.0
26,12371,491.3032745354875,480,11550.0,34,34,0.12855853564516237,0.0,0.0,0.20943197600438448,0.1980744102937815,0.1692611840192187,13,8,4,9,0.0,2800.0,2000.0,6750.0
27,12372,482.99988435786537,480,6300.0,17,17,0.0,0.0,0.0,0.11326950435345809,0.1321849950028599,0.04898316272084496,6,3,3,5,0.0,1050.0,1500.0,3750.0
28,12373,490.99044147888577,480,5150.0,22,22,0.0,0.0,0.0,0.11908028514675824,0.19462977829209133,0.07780042126449561,12,4,3,3,0.0,1400.0,1500.0,2250.0
29,12374,469.57676230762775,480,6200.0,26,26,0.1301127275757396,0.0,0.0,0.15555719164418427,0.24296670594069544,0.07098902116005987,13,7,3,3,0.0,2450.0,1500.0,2250.0
30,12375,442.3600335733485,480,7800.0,24,24,0.0,0.0,0.0,0.15775593899128795,0.1815720749807531,0.15158452176687212,8,8,4,4,0.0,2800.0,2000.0,3000.0
31,12376,474.68495299625783,480,5600.0,23,23,0.0,0.0,0.0,0.14142402297957957,0.3527773196156878,0.04863390919121307,12,6,1,4,0.0,2100.0,500.0,3000.0
32,12377,412.70062892504035,480,4700.0,17,17,0.16307789389880406,0.0,0.0,0.0926037710935534,0.2517287206166006,0.0,7,7,0,3,0.0,2450.0,0.0,2250.0
33,12378,503.57964548467805,480,8500.0,30,30,0.017565307423313924,0.0,0.0,0.19645485096154972,0.16910884086086475,0.11391464766678874,15,5,3,7,0.0,1750.0,1500.0,5250.0
34,12379,457.18949815659795,480,6650.0,23,23,0.0,0.0,1.6022630274619207,0.14512583958011185,0.2756270195768043,0.10954939527347761,11,4,3,5,0.0,1400.0,1500.0,3750.0
35,12380,479.7427048117867,480,9450.0,26,26,0.0,0.0,0.4939906334627608,0.17124363804501716,0.33699581114986327,0.2050350538005688,8,7,5,6,0.0,2450.0,2500.0,4500.0
36,12381,479.3907117816817,480,6250.0,19,19,0.0,0.0,0.0,0.133723651757071,0.12343002761604477,0.0,8,5,0,6,0.0,1750.0,0.0,4500.0
37,12382,486.79110480979693,480,6400.0,20,20,0.0,0.0,18.53493660263453,0.10978201689396354,0.21654692144186563,0.35022842344222044,8,4,4,4,0.0,1400.0,2000.0,3000.0
38,12383,517.5092402223625,480,9850.0,22,22,0.5005973785573226,0.0,0.0,0.15450236551578658,0.15704713447699184,0.020016796530154916,5,6,2,9,0.0,2100.0,1000.0,6750.0
39,12384,500.6974782469122,480,5050.0,19,19,0.13602706875230589,0.44450911346542143,0.0,0.11582292071521465,0.17842235716894198,0.11312364832616431,10,3,2,4,0.0,1050.0,1000.0,3000.0
40,12385,505.848813036685,480,5950.0,26,26,0.03572114886963526,0.0,0.0,0.14853913729521254,0.28332488147986756,0.022193277880713853,14,7,1,4,0.0,2450.0,500.0,3000.0
41,12386,491.0651884153913,480,8800.0,25,25,0.1287687097889352,0.0,1.4558219480518346,0.1604780968052357,0.18141779770302396,0.15697681642571654,11,3,2,9,0.0,1050.0,1000.0,6750.0
42,12387,486.62348288994997,480,7950.0,23,23,0.0,0.0,0.0,0.1614886054443198,0.28208524427384396,0.027512326407836983,8,7,2,6,0.0,2450.0,1000.0,4500.0
43,12388,488.88149107504756,480,5000.0,20,20,0.121891439421006,0.0,0.0,0.11335785595642196,0.26586373481074116,0.022226837327006466,10,5,2,3,0.0,1750.0,1000.0,2250.0
44,12389,500.3862760545634,480,3650.0,22,22,0.0,0.0,0.0,0.13453174675727303,0.2018607954752884,0.0,15,4,0,3,0.0,1400.0,0.0,2250.0
45,12390,461.2710762674681,480,3300.0,17,17,0.1138656536630478,0.0,5.263850199516791,0.10250094136275469,0.11866471034887865,0.13593404294178546,10,3,3,1,0.0,1050.0,1500.0,750.0
46,12391,488.69570176541583,480,4950.0,17,17,0.0,0.0,0.0,0.11795645855954673,0.08404671637253566,0.08900058210671902,9,2,1,5,0.0,700.0,500.0,3750.0
47,12392,494.88156301951113,480,5950.0,24,24,0.0,0.0,0.0,0.1529936694985549,0.23016277767048973,0.13916611109601307,12,7,1,4,0.0,2450.0,500.0,3000.0
48,12393,487.6054556465359,480,7300.0,22,22,0.0,0.0,0.0,0.15212100713791685,0.14028993598663614,0.009350631887392524,8,8,0,6,0.0,2800.0,0.0,4500.0
49,12394,505.5157519449394,480,7950.0,26,26,0.29253681524892383,0.0,0.1669902960352374,0.15520640982550973,0.1847351251520548,0.10109346458934199,10,7,5,4,0.0,2450.0,2500.0,3000.0
50,12395,508.4295906259685,480,7850.0,31,31,0.033042721149940696,0.0,0.0,0.17364918073970012,0.279385125784722,0.005989687105886298,17,6,1,7,0.0,2100.0,500.0,5250.0
51,12396,495.5891543925568,480,7700.0,24,24,0.35861656752447973,0.0,0.0,0.1330884139533322,0.22705516886614566,0.09646228295587235,9,7,3,5,0.0,2450.0,1500.0,3750.0
52,12397,500.03601118713914,480,8000.0,25,25,0.0,0.0,0.0,0.15966779085577146,0.1845144182905672,0.017978555349055524,11,5,2,7,0.0,1750.0,1000.0,5250.0
53,12398,533.8447175795887,480,7200.0,31,31,0.4257577410477911,0.5544341563100351,6.586682536656809,0.15667091623942583,0.260989176895399,0.11552925558325582,17,7,2,5,0.0,2450.0,1000.0,3750.0
54,12399,430.21938822963284,480,7650.0,25,25,0.2685732497139901,0.0,0.0,0.17678171251943156,0.2918304189852527,0.09692558411245601,12,4,2,7,0.0,1400.0,1000.0,5250.0
55,12400,489.2473609341413,480,6850.0,24,24,0.14463987218197202,0.0,1.280798484878133,0.15863064562623763,0.18737791694856135,0.06168426023042511,11,6,2,5,0.0,2100.0,1000.0,3750.0
56,12401,498.5815620355114,480,6750.0,26,26,0.15194768887265844,0.0,0.0,0.15162763341149338,0.22997061113155,0.1240682488741968,13,5,4,4,0.0,1750.0,2000.0,3000.0
57,12402,483.95755242259304,480,3700.0,20,20,0.20202878513153877,0.0,0.0,0.12212079505435003,0.179807196558101,0.1293070019268719,13,2,3,2,0.0,700.0,1500.0,1500.0
58,12403,498.23970378346513,480,7750.0,18,18,0.0,0.0,0.0,0.10984558447781778,0.09477280449838354,0.06528942643759496,4,5,3,6,0.0,1750.0,1500.0,4500.0
59,12404,431.4044465267588,480,8600.0,22,22,0.1634819422760746,0.0,0.0,0.1462079497076071,0.1367369364370092,0.07138814797610785,6,6,4,6,0.0,2100.0,2000.0,4500.0
60,12405,479.49785901103763,480,8100.0,21,21,0.000565363760944679,0.0,0.0,0.13229731452830196,0.23360920900794818,0.10371050265245338,6,6,3,6,0.0,2100.0,1500.0,4500.0
61,12406,466.76626310496806,480,12300.0,30,30,0.01258413879708371,0.0,0.0,0.21031203015054,0.26211317789209365,0.11091439390353963,8,8,4,10,0.0,2800.0,2000.0,7500.0
62,12407,462.432912947885,480,4200.0,13,13,0.0,0.0,0.0,0.08928980475227072,0.08543535448604826,0.02239294487630093,6,2,1,4,0.0,700.0,500.0,3000.0
63,12408,494.53862579434065,480,7350.0,28,28,0.0,0.0,0.0,0.17012686736434454,0.1746572148887036,0.17659892920050466,14,6,3,5,0.0,2100.0,1500.0,3750.0
64,12409,497.6815561143023,480,3750.0,18,18,0.0,0.0,0.0,0.10453242036070515,0.25769114618573835,0.13303533272845108,10,5,1,2,0.0,1750.0,500.0,1500.0
65,12410,499.6186803076552,480,6900.0,28,28,0.0,0.27505218059236114,20.07941069565271,0.15660126904084826,0.3075319550921619,0.26473590577552303,16,4,2,6,0.0,1400.0,1000.0,4500.0
